id,city,state,zip,_row_
3637013355,Las Vegas,NV,6110,1
2970230054,Washington,DC,9484,2
5418323601,Portland,OR,23474,3
8445104934,Miami,FL,26889,4
7501285195,Ann Arbor,MI,31704,5
8400736990,Washington,DC,1930,6
9312190334,Rochester,NY,63322,7
0795411227,Jacksonville,FL,53063,8
8636349966,Columbus,GA,15580,9
6704753338,Knoxville,TN,92436,10
3524806570,Pittsburgh,PA,72456,11
7902815292,Knoxville,TN,94297,12
5597225766,Atlanta,GA,85806,13
6081613429,Sacramento,CA,75867,14
7080871662,West Hartford,CT,75680,15
9978347941,Amarillo,TX,11115,16
2905720786,Carol Stream,IL,21940,17
6210571328,Honolulu,HI,55970,18
3212171782,Newark,NJ,4154,19
3514877505,Fort Pierce,FL,3697,20
3596315360,Scottsdale,AZ,96370,21
9900313518,Buffalo,NY,95388,22
7984302863,Miami,FL,56899,23
8147523734,Lexington,KY,7053,24
0282676384,Scranton,PA,88203,25
7613694844,Houston,TX,15469,26
1492612537,Carol Stream,IL,66389,27
9115699277,Chicago,IL,98981,28
5716361811,Los Angeles,CA,38654,29
6276296473,Garden Grove,CA,51808,30
3872301128,Las Vegas,NV,62905,31
3105032754,Bakersfield,CA,47598,32
3888974569,Pittsburgh,PA,82165,33
4380052761,Tallahassee,FL,21273,34
0039056910,Lexington,KY,31391,35
8094267607,Erie,PA,2325,36
4374807969,Hartford,CT,46649,37
1790999480,Washington,DC,94277,38
9955105542,Syracuse,NY,25643,39
5781984666,Mobile,AL,15966,40
9582173483,Miami,FL,83802,41
0459368230,Irvine,CA,59029,42
2670967086,Tampa,FL,29358,43
4546110308,San Antonio,TX,76642,44
2207583074,Gary,IN,71362,45
9516244181,Cincinnati,OH,96903,46
2759090248,Gainesville,FL,87330,47
8545858655,Kansas City,MO,44411,48
7030328507,Phoenix,AZ,94440,49
6550251605,Wichita Falls,TX,29939,50
